NewTask,java hashmap
java dictionary,
phone number regex java,www.tutorialspoint.com/java/java_dictionary_class.htm,www.tutorialspoint.com/java/java_map_interface.htm
hashmap with duplicate keys,www.journaldev.com/641/regular-expression-phone-number-validation-in-java
