NewTask,sudoku open source java
create ui grid java,playsudoku.sourceforge.net
java button listener popup,stackoverflow.com/questions/15421708/how-to-draw-grid-using-swing-class-java-and-detect-mouse-position-when-click-and
java add listener to button,https://docs.oracle.com/javase/tutorial/uiswing/events/mouselistener.html,alvinalexander.com/java/button-listener-pressed-actionlistener
java button onclicklistener,
java button actionlistener,
java hashmap,stackoverflow.com/questions/17511789/button-actionlistener,www.javaprogrammingforums.com/java-swing-tutorials/278-how-add-actionlistener-jbutton-swing.html,alvinalexander.com/java/button-listener-pressed-actionlistener
java hashmap integer,
java pair class implementation,
