NEW TASK,java sketch,
java sketch pad,http://www.auburn.edu/~martiwg/ctse7970/jsp.htm,http://www.dynamicgeometry.com/JavaSketchpad.html
java opengl dogs,https://github.com/diwi/PixelFlow/blob/master/src/com/thomasdiewald/pixelflow/java/imageprocessing/filter/DoG.java,https://stackoverflow.com/questions/23985256/texture-not-displayed-opengl-jogl
